color,alt_color
BLKRBR,Black Rubber
BLKRD,Black Red
BLKRDWHT,Black / Red / White
BLKRED,Black Red
BLKRED,Black/ Florescent Red
BLKRED,Black/Red
BLKRED,Black / Red
BLKREDWH,Black/Red/White
BLKREDYL,Black / Red / Yellow
BLKREF,Black Reflective
BLKROSE,Black Rose
BLKRUS,Black/Russet
BLKSHA,Black/Shadow
BLKSHI,Black Shift
BLKSHTTR,Black Shattered
BLKSILV,Black/Silvermetallic-X
BLKSILVR,Black/Silver
BLKSLVR,Black/Silvermetallic-X
BLKSPRKL,Black/Sparkle
BLKTEAL,Black / Teal
BLKTEMP,Black/ Tempest
BLKTIGER,Black Grey Tiger Shark
BLKTRBLK,Black Transparent / Black
BLKTRI,Silver Mirror + Yellow
BLKTURT,Black Turtledove
BLKVOLC,Black Volcano
BLKVOLCA,Black Volcano
BLKVOT,Black/Volt Boot
BLKWASH,Black Wash
BLKWDMNT,Black Wood Mountain
BLKWH,Black White
BLKWHITE,Snapback
BLKWHITE,Black/White
BLKWHT,Black/White
BLKWHT,Black White
BLKWHT,Black Anthrecite White
BLKWHT,Black / White
BLKWHT,Black Volcano
BLKWHT,Black / True White
BLKWHTBL,Black/White/Black
BLKWHTBL,Black/ White / Light Blue
BLKWHTLT,Black And White Light
BLKWHTMA,Black/White Marble
BLKWHTRD,Black / White/ Red
BLKWHTYL,Black / White / Yellow
BLKWOLF,Black/Wolf
BLKWOLF,Black (Wolf
BLKYLLW,Black-Yellow
BLKYLLW,Black / Yellow
BLKYLW,Black/Yellow
BLMARCHA,Black/Maroon/Charcoal
BLOCKCHO,Blocks Chocolate
BLOOD,Silver Mirror + Yellow
BLSHPNK,Blush Pink
BLSMI,Blue Sensor Mirror
BLSTEEL,Blue Steel
BLUAMB,Blue Ion W/Amber
BLUAMBER,Blue Amber
BLUBLACK,Blue/Black
BLUCBLT,Blue Cobalt
BLUE,Blue
BLUEBIRD,Bluebird Colorblock
BLUEHTHR,Blue Heather
BLUEION,Blue Ion + Amber
BLUEION,Blue Ion
BLUEMAGN,Blue Magnolia
BLUEORAN,Blue Orange
BLUEORG,Blue/Orange
BLUERED,Blue / Red
BLUERINS,Blue Rinse
BLUESTEE,Bluesteel Melange
BLUESTON,Blue Stone
BLUFUSN,Blue Fusion
BLUICHIB,Blue Ice/Hibiscus
BLUIRID,Blue Iridium
BLUJEW,Blue Jewel
BLULAG,Blue Lagoon
BLULIM,Blue / Lime
BLUMIR,Blue Mirror
BLUMIR,Blue Mirror Polarized
BLUORG,Blue / Orange
BLUPOL,Blue Mirror
BLUPOL,Blue Ion Polorized
BLUREDYL,Child
BLUREFLX,Blue Reflex
BLURFLEX,Blue Reflex
BLURINSE,Blue Rinse
BLUROBOT,Blue Robots
BLUSILVR,Chris Joslin
BLUSPACE,Blue Space
BLUSUN,Blue/Blue/Sunset
BLUTYDYE,Blue Tye-Dye
BLUWHIM,Blue Whimsy
BLUWNGTL,Blue Wing Teal
BLWHGLIB,Black/White-Gum Light Brown
BLWHRED,Black/White/Red
BMR,Blue Mirror
BOGHEA,Bog Heather
BOGHEATH,Bog Heather
BOHE,Bog Heather
BOHETRBK,Bog Heather/True Black
BONESNKE,Bone Snake
BORBRN,Bordeaux Brown
BORDHYWH,Bohrium Red / Hydrogen White
BOTANPET,Botanics Pet
BOTPET,Botanics Pet
BOUTISTI,Bourbon Tick Stitch
BOWLPACK,Bowlpacker
BOZ,Blue Ozone
BPOL,Blue Polorized
BRADSHAW,Olive/Black
BRBLKALU,Brushed Black / Aluminum
BRBRWN,Bronco Brown
BREEZEWY,Breezeway
BRFX,Blue Reflex
BRFX,Blue Relex
BRGHTBLU,Bright Blue
BRGHTGRN,Bright Green
BRGHTORG,Bright Orange
BRIBKHEA,Brick/Black Heather
BRIBLU,Bright Blue
BRIGPINK,Matte Bright Pink
BRIROS,Bridal Rose
BRIROSE,Bridal Rose
BRITKHAK,British Khaki
BRITROSE,Bright Rose
BRN,Brown
BRNAPORD,Bright Nail Polish Red
BRNGDPOL,Brown Gradient Polarized
BRNGRN,Brown/Green
BRNNAVY,Brown/Navy
BRNPCPBN,Polarized Brown
BRNPOL,Brown Polarized
BRNTORNG,Burnt Orange
BRNTRED,Burnt Red
BRNZRFLX,Bronze Reflex
BROTRO,Brook Trout
BRTGRN,Bright Greeen
BRTKHABK,British Khaki / Tnf Black
BRTR,Brown Trout
BRTRED,Burnt Red
BRUSHFIS,Brushie Fish
BRYANFOX,Bryan Fox
BRZSILSP,Bronze W/ Silver Spectra
BRZSLVSP,Bronze W/ Silver Spectra
BRZWAY,Breezeway
BUCK,Buckskin
BURFIS,Burgundy Fish
BYBLHYWH,Butylene Blue / Hydrogen White
BZ,Bronze
BZPOL,Bronze Polarized
BZPOL,Bronze Polar
BZRFX,Bronze Reflex
C,Clear
CABBLK,Caballero Black
CABDRAGN,Caballero Dragon
CADIBKVO,Camodistressprintblackvolcano
CALVBLUE,Calvary Blue
CAMBLO,Camel Blood
CAMO,Camoflauge
CAMO,Camouflage
CAMO,Red Ion
CAMOBLK,Olive Ashcroft Camo Black
CAMODUCK,Camo Ducky
CAMOMOUN,Mountain Camo
CAMSWI,Camo Swirl
CARBLK,Carbon/Black
CASTLERK,Castlerock
CASTROCK,Castlerock
CBENCHET,Chris Bentchetler
CBLU/GRE,Cobalt/Blue/Green
CELESTIA,Celestial
CEMHEA,Cement Heather
CERO,Cp Everyday Rose
CERPIN,Cerise Pink
CHACOL,Charcoal Colorblock
CHAHEA,Charcoal Heather
CHAMEL,Charcoal Melange
CHAR,Charcol
CHARCFLM,Charcoal Flame Suede
CHARCOAL,Medium Gray
CHARCWHT,Charcoal White
CHARHEA,Charcoal Heather
CHARHTHR,Charcoal Heather
CHARWASH,Charcoal Wash
CHAVIO,Charcoal/Violet
CHAVIOMI,Charcoal/Violet/Mint
CHECKBLK,Checkers - Black
CHECKYOS,Checkyoself
CHEYOSEL,Checkyoself Print
CHHEA,Charcoal Heather
CHILLVIB,Chill Vibe
CHIPEP,Chili Pepper
CHMIR,Chrome Iridium
CHOCCHIP,Navy Chocolate Chip Camo
CHOCOLAT,Chocolate
CHRCBEER,Charcoal (Beer)
CHRISBEN,Chris Bentchetler
CHYADYPL,Charcoal Yarn Dye Plaid
CI,Chrome Iridium
CITORANG,Citrine Orange
CLDBLUBK,Cloud Blue / Tnf Black
CLEAR,Pink
CLOSHA,Cloud Shadows
CLOUDBRE,Cloudbreak
CLOUDRIP,Cloud Ripstop Cloud Ripstop
CLTUSSTR,Clover Tusk Stripe
CNL,Cantaloupe
COALHTHR,Coal Heather
COBALT,Cobalt Blue
COBBLU,Cobalt Blue
COBLTBLK,Cobalt / Black
COCOBERR,Coco Berry
COCOBRRY,Coco Berry
CONYEL,Concrete/Yellow
COOGRYWH,Cool Grey/White
COORSLIG,Coors Light
CORALPNK,Coral Pink
CORBLK,Cornstalk/Black
CORECAMO,Core Camo
COROXBLD,Coral / Ox Blood
CP BLACK,Chromapop Black
CPBLK,Chromapop Black
CPBLUE,Chromapop Blue Mirror
CPBLUMIR,Chromapop Polarized Blue Mirro
CPBRNMIR,Chromapap Polorized Brown Mirr
CPEG,Cp Everyday Green Mirror
CPEGCPRO,Cpevrydaygren W/ Cpstrmrsefla
CPEGCPYF,Cpevrydaygren W/ Cpstrmyelfla
CPEGM,Cp Everyday Green Mirror
CPEGM,Cpeverydaygreenmirror
CPEGMSRF,Cpevrydaygrnmirr/Cpstormrosefl
CPEGMSYF,Cpevrydygrnmirror/Cpstormylfla
CPEGMSYF,Cpevrydaygrnmirror/Cpstrmylwfl
CPEGMSYF,Cpevrydaygrnmirr/Cpstormyllwfl
CPEGMYEL,Cpeverydaygreenmirror / Yellow
CPEGYEL,Cpevrydaygren W/ Yellow
CPER,Cp Everyday Red Mirror
CPER,Cp Everday Red Mirror
CPERCPRO,Cpevrydayred W/ Cpstrmrsefla
CPERCPSB,Cpevrydayred W/ Cpsunblack
CPERM,Cp Everyday Red Mirror
CPERMSRF,Cpevrydyredmirror/Cpstrmrosefl
CPERMSRF,Cpevrydayredmirror/Cpstrmrosef
CPERMSRF,Cpevrydayredmirr/Cpstormrosefl
CPERYEL,Cpevrydayred W/ Yellow
CPEVCPRO,Cpevrydayvio W/ Cpstrmrsefla
CPEVM,Cp Everyday Violet Mirror
CPEVWYL,Cp Everyday Violet W/ Yellow
CPGPOLGN,Chromapop Glass Polarized Gree
CPGREGRY,Chromapop Polarized Grey Green
CPINKMIR,Pink Mirror
CPOLBRN,Cp Polarized Brown
CPOLGRGN,Chromapop Polarized Grey Green
CPOLGRGN,Cp Polarized Grey Green
CPOLPL,Chromapop Polarized Platnium
CPOPMIR,Chromapop Opal Mirror
CPP,Chromapop Platinum
CPPBLK,Chromapop Polarized Black
CPPBLUMI,Chromapop Polarized Blue Mirro
CPPBLUMI,Chromapop Polarized Blue Mir
CPPBRMI,Chromapop Polarized Bronze Mir
CPPBRWN,Chromapop Polarized Brown
CPPBRWN,Chromapop Glass Polarized Blue
CPPBRWN,Chromapop Polarized Black
CPPBRWNM,Chromapop Polarized Bronze Mir
CPPBWN,Chromapop Polarized Brown
CPPGRAY,Chromapop Polarized Gray
CPPGREY,Chromapop Polarized Gray
CPPGRGRE,Chromapop Polarized Gray Green
CPPHRMSB,Cpphotochromredmirror/Cpsunblk
CPPHRMSB,Cpphotocromredmirror/Cpsunblk
CPPOLB,Chromapop Polarized Brown
CPPOLBKG,Chromapop Polarized Black Gold
CPPOLBKG,Chromapop Polarized Black
CPPOLBLK,Chromapop Polarized Black
CPPOLBLU,Chromapop Polarized Blue
CPPOLBRN,Chromapop Polarized Brown
CPPOLBRN,Chromapop Polorized Brown
CPPOLBRN,Chromapop Polarized Gray Green
CPPOLBRN,Chromapop Polsrized Brown
CPPOLBRZ,Chromapop Polarized Brown
CPPOLBRZ,Chromapop Polarized Bronze
CPPOLGG,Chromapop Polarized Gray Gree
CPPOLGG,Chromapop Polorized Green
CPPOLGG,Chromapop Polarized Gray Green
CPPOLGYG,Chromapop Polarized Gray Green
CPPOLGYG,Chromapop Polarized Grey Green
CPPOLGYG,Chromapop Polarized Bronze
CPPOLOPA,Chromapop Polarized Violet
CPPOLVIL,Chromapop Polarized Violet
CPPOLVIO,Chromapop Polarized Violet
CPPROGO,Chromapop Polarized Rose Gold
CPPROGOL,Chromapop Polarized Rose Gold
CPPVIOMI,Chromapop Polarized Violet Mir
CPRBMR,Cp Plr Blue Mir
CPRBZMR,Cp Plr Brnz Mrr
CPREDMI,Chromapop Red Mirror
CPREDMIR,Chromapop Red Mirror
CPRGRGN,Cp Plr Grey Green
CPRO,Cp Storm Rose Flash
CPROCPSG,Cpstrmrsefla W/ Cpsungrnmir
CPROGO,Chromapop Rose Gold
CPROSEGO,Chromapop Polarized Rose Gold
CPSB,Cpsunblack
CPSBCPER,Cpsunblack W/ Cpevrydayred
CPSBCPRO,Cpsunblack W/ Cpstrmrsefla
CPSBCPYF,Cpsunblack W/ Cpstrmyelfla
CPSBSRF,Cpsunblack/Cpstormroseflash
CPSBYEL,Cpsunblack / Yellow
CPSGCPRO,Cpsungrnmir W/ Cpstrmrsefla
CPSGMSRF,Cpsungrnmirror/Cpstormroseflsh
CPSGMSRF,Cpsungreenmirror/Cpstormrosefl
CPSGMYEL,Cpsungreenmirror / Yellow
CPSGYEL,Cpsungrnmir W/ Yellow
CPSNGRN,Cp Sn Grn
CPSPCERO,Cpsplatmirror W/ Cpevrydayrose
CPSPCPRO,Cpsplatmirror W/ Cpstrmrsefla
CPSPCPYF,Cpsplatmirror W/ Cpstrmyelfla
CPSPM,Cp Sun Platinum Mirror
CPSPMSRF,Cpsunplatinummirr/Cpstrmrosefl
CPSPMSRF,Cpsunplatinmirr/Cpstormrosefl
CPSPMYEL,Cpsunplatinummirror / Yellow
CPSPYEL,Cpsplatmirror W/ Yellow
CPSPYEL,Cpsunplatinummirror / Yellow
CPSRCPRO,Cpsunredmir W/ Cpstrmrsefla
CPSRF,Cp Storm Rose Flash
CPSRFYEL,Cpstormroseflash / Yellow
CPSRM,Chromapop Sun Red Mirror
CPSRMSRF,Cpsunredmirror/Cpstormroseflas
CPSRMSYF,Cpsunredmirror/Cpstormylwflash
CPSRYEL,Cpsunredmir W/ Yellow
CPVIMI,Chromapop Violet Mirror
CPVIOMIR,Chromapop Violet Mirror
CPYFCPSB,Cpstrmyelfla W/ Cpsunblack
CRBAPPLE,Crabapple
CRBRBR,Carbon Rubber
CREMEBRU,Creme Brulee
CRIRED,Crimson Red
CROSEGOL,Rose Gold Mirror
CRPHOBLK,Clear To Black Photochromatic
CRYSTGRN,Crystal Green Gem
CSNGN,Cp Sn Grn
CSNGNM,Cp Sn Green Mr
CSNRD,Cp Sn Red
CSUNGNM,Chromapop Sun Green Mirror
CUBBLUE,Cubane Blue
CUBPRI,Cubic Print
CUTBOW,Cut Bow
CYANPOL,Cyan Polarized
DAB,Dark Brown
DAPUTNFB,Dahlia Purple/Tnf Black
DARKRED,Silver/Dark Red
DARKROSE,Dark Rose
DARKSKY,Dark Sky
DAWNPATR,Dawnpatrol
DAYDREAM,Day Dream
DAYDREAM,Day Dream - Lil Beast
DEEORN,Deep Orange
DEEPMAR,Deep Marlin
DEEPPURP,Deep Purple
DEEPTEAL,Deep Teal Heather
DEMITASS,Demitasse
DENMEL,Denim Melange
DESAWHBR,Desert Sand / White-Gum / Brwn
DESERTDR,Desert Dream
DG,Dark Grey
DGRHEOBS,Dark Grey Heather/Obsidian
DGRHOTCR,Dkgryhtr/Obsidian/Team Crimson
DIMAROON,Digital Maroon
DINO,Dinoflage
DKBRUSH,Dark Brush
DKBZ,Dark Bronze
DKCAMOCO,Dark Camo Colorblock
DKDENSUB,Dark Denim Sublimation
DKGREY,Dark Grey
DKGRHOB,Dk Grey Heather/Obisidian
DKGRHOB,Dk Grey Heather/Obsidian
DKGRHWHB,Dark Grey Heather/White/Black/
DKGRYHTH,Tnf Dark Grey Heather
DKGYPRSM,Darkgrey & Persimmon
DKOLIVE,Dark Olive
DKOLVE,Dark Olive
DKS,Dark Smoke W/ Pink Ion
DKS,Dark Smoke W/ Rose
DKS,Dark Smoke W/ Red Ion
DKS,Dark Smoke
DKS,Dk Smoke W/ Flash Blue
DKS,Dk Smoke W/ Flash Blue & Rose
DKSKFLBL,Dark Smoke + Yellbluion + Rose
DKTURPUR,Dark Turquoise / Purple
DOTSTRGR,Dot Stripes Green
DPGARNET,Deep Garnet Mix
DPLAGMED,Deep Lagoo/Medieval Blue
DPTEAL,Deep Teal Mix
DPTLNTSK,Deep Teal / Night Sky
DRBLSTYL,Dress Blue Stylus
DRBLUE,Dress Blue
DREBLU,Dress Blues
DREBLUKH,Dress Blues/Khaki
DREBLUQU,Dress Blues/Quetzal
DRESSBLU,Dress Blue
DRESSBLU,Dress Blues
DRESSBLU,Dress Blues Color Block
DRESSBLU,Dress Blue / Sulphur Spring
DRIZBLK,(Covert) Drizzle/Black
DRKBLUE,Dark Blue
DRKBRNGR,Dark Brown Gradient
DRKBRU,Dark Brush
DRKBRUSH,Dark Brush
DRKCHARC,Dark Charcoal
DRKCLY,Dark Clay
DRKFOR,Dark Forest
DRKGRN,Dark Green
DRKINDIG,Dark Indigo
DRKKHA,Dark Khaki
DRKKHAKI,Dark Khaki
DRKKYBLU,Dark Kyanite Blue
DRKMILIT,Dark Military
DRKNAVY,Dark Navy
DRKNIGHT,Dark Night
DRKOLIV,Dark Olive
DRKOLIVE,Dark Olive
DRKPURP,Dark Purple
DRKREDPE,Dark Red Pewter
DRKSKYLN,Blue Hd
DRKSMION,Dark Smoke W/Ionized
DRKSMK,Dark Smoke
DRKSMOKE,Drk Smoke + Flash Blue + Rose
DRKSMOKE,Dark Smoke
DRKSMOKE,Dark Smoke + Rose
DRKSMOKE,Dark Smoke + Flash Blue + Rose
DRKSMOKE,Dark Smoke + Flash Blue
DRKSMOKE,Dark Smoke + Amber
DRSSBLUE,Dress Blues
DRTEALGO,Dr. Tealgood
DSTJADGR,Dusty Jade Green / Stargazer
DTEALSTO,Deep Teal/ Stone
DUCK,Light Brown
DUCKBLIN,Duck Blind
DUSK,Alpenglow / Dusk
DUSTPURP,Matte Dusty Purple
ELEBLU,Electric Blue
ELECBLU,Electric Blue
ELIASELH,Elias Elhardt
ELIELH,Elias Elhardt
ELIPSNVY,Eclipse Navy
ELMWD,Elmwood
EMLDIR,Emerald Iridium
ENGINRED,Engine Red
ENGRNCHR,Enhancer Green Chrome
ENREDCHR,Enhancer Red Chrome
ENSBLU,Ensign Blue
ENSILCHR,Enhancer Silver Chrome
ENTEACHR,Enhancer Teal Chrome
ENYELCHR,Enhancer Yellow Chrome
ENZDKWSH,Enzyme Dark Wash
EVE,Evergreen
EVERGLAD,Everglade
EVERGRN,Evergreen
EVILSHRE,Evil Shred
FADEARMY,Faded Army
FADEDJAD,Faded Jade
FADEJADE,Faded Jade
FADTOBLK,Fade To Black
FALBIR,Falcon Birds
FAROUT,Far Out
FARWEST,Far West
FATIGUE,King Topo / Fatige
FENNEL,Amethyst/Black
FERNHERR,Fern Herringbone
FGRNSTR,Forest Green Stripe
FICAMOBL,Field Camo/Black
FIECAM,Field Camo
FIELDCAM,Field Camo
FIPRSM,Fire Iridium & Persimmon
FIRECRAC,Firecracker
FIREIRID,Fire Iridium
FIRERDBK,Fiery Red / Tnf Black
FLAGBLUE,Flag Blue
FLBLCL,Llflblue+Clr
FLBLPO,Flash Blue Polar
FLBLUE,Flourescent Blue
FLBLUPLM,Flag Blue Palms Print/Flag Blu
FLBLUPOL,Flash Blue Polarized
FLBLUPRN,Flag Blue Rom Print
FLGBLBLK,Flag Blue / Black / Blue
FLGRNPOL,Flashgreenpolarized
FLGRNPOL,Flash Green Polarized
FLINTBLK,Flint Black
FLNTBLK,Flint Black
FLORALGR,Grunge Floral
FLORANGE,Flourescent Orange
FLOWERBL,Flowers Black
FLPINK,Flourescent Pink
FLSHFACE,Flash Faces
FLTBLK,Flat Black
FOGGREY,Fog Grey
FORBAI,Forest Bailey
FORGDIRN,Forged Iron
FORGRA,Forever Grateful
FORGRN,Lychen Forest Green
FORGRN,Forest Green
FORIRO,Forged Iron
FORIRON,Forged Iron
FORMENOT,Forget Me Not
FORNIG,Forest Night
FORSTTWN,Forest Town
FORSWD,Forest/ Seaweed
FRGREE,Frosty Green
FROBON,Frozen Bone
FRONTIER,Old Frontier
FROST,Flex Cap
FRSMOIHA,Frstnt/Modigo/Hawk
FRSTGREY,Frost Grey
FRSTNGHT,Forest Night
FU/PINK,Fuchia/Pink
FU/PNK,Fuchia/Pink
FURTRADE,Fur Trader
FUSCHIA,Fuschia Purple Tiedye
GDI,Gold Ion W/ Dark Smoke
GDI,Gold Ion W/ Amber
GDI,Gold Ion W/ Rose
GDION,Gold Ion
GDLITE,Gold Lite
GEOCAMOP,Geo Camo Green Pink
GETGROPR,Get Groovy Print
GHOROCAM,Ghost Rose Camo
GHOROS,Ghost Rose
GIYBI,Greenion+Yellowbluion
GLACCHET,Matte Glacier Cheetah
GLACPEAK,Glacier Peak
GLACROCK,Matte Glacier Rock
GLDCHRM,Gold Chrome
GLDION,Gold Ion
GLDNCAMO,Golden Glow/ Ashcroft Camo
GLDNPENG,Golden Penguins
GLOSSBLK,Gloss Black
GLOSSEGG,Gloss Eggplant
GLOSSRED,Gloss Red
GLOSSWHT,Gloss White
GLXYRAIN,Galaxy Rain
GN,Green
GN-GR,Green-Grey
GNI,Green Ion W/ Amber
GNI,Green Ion W/ Dark Smoke
GNINPRPO,Green Ion Preform Polar
GNMR,Green Mirror
GNPOL,Green Polarized
GNRFX,Green Reflex
GNSX,Green Sol-X
GOATBONE,Goat Bone
GOLD,Silver/Gold
GOLDGLOW,Golden Glow
GOLDION,Gold Ion + Amber
