"Item Type","Product ID","Product SKU"
"  SKU",207423,1-53435
"  Rule",318096,1-44809
"  Rule",318097,1-46618
"  Rule",318098,1-46687
"  Rule",318099,1-47485
"  Rule",318100,1-47625
"  Rule",318101,1-47626
"  Rule",318102,1-50125
"  Rule",318103,1-50990
"  Rule",318104,1-51009
"  Rule",318105,1-53435
Product,171712,0-46926
"  SKU",207424,1-46926
"  SKU",207425,1-46928
"  SKU",207426,1-50126
"  Rule",318106,1-46926
"  Rule",318107,1-46928
"  Rule",318108,1-50126
Product,171713,0-49095
"  SKU",207427,1-49095
"  SKU",207428,1-49096
"  SKU",207429,1-49097
"  SKU",207430,1-49098
"  SKU",207431,1-54248
"  Rule",318109,1-49095
"  Rule",318110,1-49096
"  Rule",318111,1-49097
"  Rule",318112,1-49098
"  Rule",318113,1-54248
Product,171714,0-50121
"  SKU",207432,1-50121
"  SKU",207433,1-50279
"  Rule",318114,1-50121
"  Rule",318115,1-50279
Product,171715,0-13542
"  SKU",207434,1-13542
"  SKU",207435,1-13543
"  SKU",207436,1-13544
"  SKU",207437,1-13545
"  Rule",318116,1-13542
"  Rule",318117,1-13543
"  Rule",318118,1-13544
"  Rule",318119,1-13545
Product,171716,0-13547
"  SKU",207438,1-13547
"  SKU",207439,1-13548
"  SKU",207440,1-13549
"  Rule",318120,1-13547
"  Rule",318121,1-13548
"  Rule",318122,1-13549
Product,171717,0-09323
"  SKU",207441,1-09323
"  SKU",207442,1-09324
"  Rule",318123,1-09323
"  Rule",318124,1-09324
Product,171718,0-31569
"  SKU",207443,1-31569
"  SKU",207444,1-31570
"  Rule",318125,1-31569
"  Rule",318126,1-31570
Product,171719,2-19301
Product,171720,0-03070
"  SKU",207445,1-03070
"  SKU",207446,1-03071
"  SKU",207447,1-03072
"  SKU",207448,1-03073
"  SKU",207449,1-03074
"  SKU",207450,1-03075
"  Rule",318127,1-03070
"  Rule",318128,1-03071
"  Rule",318129,1-03072
"  Rule",318130,1-03073
"  Rule",318131,1-03074
"  Rule",318132,1-03075
Product,171721,0-03058
"  SKU",207451,1-03058
"  SKU",207452,1-03059
"  SKU",207453,1-03060
"  SKU",207454,1-03061
"  SKU",207455,1-03062
"  SKU",207456,1-03063
"  Rule",318133,1-03058
"  Rule",318134,1-03059
"  Rule",318135,1-03060
"  Rule",318136,1-03061
"  Rule",318137,1-03062
"  Rule",318138,1-03063
Product,171722,0-54228
"  SKU",207457,1-54228
"  SKU",207458,1-54229
"  SKU",207459,1-54230
"  SKU",207460,1-54231
"  Rule",318139,1-54228
"  Rule",318140,1-54229
"  Rule",318141,1-54230
"  Rule",318142,1-54231
Product,171723,0-54232
"  SKU",207461,1-54232
"  SKU",207462,1-54235
"  SKU",207463,1-54236
"  SKU",207464,1-54238
"  Rule",318143,1-54232
"  Rule",318144,1-54235
"  Rule",318145,1-54236
"  Rule",318146,1-54238
Product,171724,0-54239
"  SKU",207465,1-54239
"  SKU",207466,1-54240
"  SKU",207467,1-54241
"  SKU",207468,1-54242
"  SKU",207469,1-54243
"  SKU",207470,1-54244
"  Rule",318147,1-54239
"  Rule",318148,1-54240
"  Rule",318149,1-54241
"  Rule",318150,1-54242
"  Rule",318151,1-54243
"  Rule",318152,1-54244
Product,171725,0-03064
"  SKU",207471,1-03064
"  SKU",207472,1-03065
"  SKU",207473,1-03066
"  SKU",207474,1-03067
"  SKU",207475,1-03068
"  SKU",207476,1-03069
"  Rule",318153,1-03064
"  Rule",318154,1-03065
"  Rule",318155,1-03066
"  Rule",318156,1-03067
"  Rule",318157,1-03068
"  Rule",318158,1-03069
Product,171726,2-19748
Product,171727,2-30085
Product,171728,2-06357
Product,171729,2-30113
Product,171730,2-30087
Product,171731,0-05706
"  SKU",207477,1-05706
"  SKU",207478,1-05707
"  SKU",207479,1-05708
"  SKU",207480,1-05709
"  SKU",207481,1-05710
"  SKU",207482,1-05711
"  SKU",207483,1-05712
"  SKU",207484,1-05713
"  Rule",318159,1-05706
"  Rule",318160,1-05707
"  Rule",318161,1-05708
"  Rule",318162,1-05709
"  Rule",318163,1-05710
"  Rule",318164,1-05711
"  Rule",318165,1-05712
"  Rule",318166,1-05713
Product,171732,2-30131
Product,171733,0-30079
"  SKU",207485,1-30079
"  SKU",207486,1-30080
"  SKU",207487,1-30081
"  Rule",318167,1-30079
"  Rule",318168,1-30080
"  Rule",318169,1-30081
Product,171734,0-05579
"  SKU",207488,1-05579
"  SKU",207489,1-05580
"  SKU",207490,1-05581
"  SKU",207491,1-05582
"  SKU",207492,1-05585
"  Rule",318170,1-05579
"  Rule",318171,1-05580
"  Rule",318172,1-05581
"  Rule",318173,1-05582
"  Rule",318174,1-05585
Product,171735,2-20967
Product,171736,2-64936
Product,171737,2-02531
Product,171738,2-64935
Product,171739,2-02533
Product,171740,0-15279
"  SKU",207493,1-15279
"  SKU",207494,1-15282
"  SKU",207495,1-15288
"  SKU",207496,1-15289
"  SKU",207497,1-15290
"  SKU",207498,1-15292
"  SKU",207499,1-15293
"  SKU",207500,1-15296
"  SKU",207501,1-15297
"  SKU",207502,1-15298
"  SKU",207503,1-15300
"  SKU",207504,1-15301
"  Rule",318175,1-15279
"  Rule",318176,1-15282
"  Rule",318177,1-15288
"  Rule",318178,1-15289
"  Rule",318179,1-15290
"  Rule",318180,1-15292
"  Rule",318181,1-15293
"  Rule",318182,1-15296
"  Rule",318183,1-15297
"  Rule",318184,1-15298
"  Rule",318185,1-15300
"  Rule",318186,1-15301
Product,171741,0-15263
"  SKU",207505,1-15263
"  SKU",207506,1-15267
"  SKU",207507,1-15268
"  SKU",207508,1-15269
"  SKU",207509,1-15270
"  Rule",318187,1-15263
"  Rule",318188,1-15267
"  Rule",318189,1-15268
"  Rule",318190,1-15269
"  Rule",318191,1-15270
Product,171742,0-15202
"  SKU",207510,1-15202
"  SKU",207511,1-15203
"  SKU",207512,1-15206
"  SKU",207513,1-15208
"  Rule",318192,1-15202
"  Rule",318193,1-15203
"  Rule",318194,1-15206
"  Rule",318195,1-15208
Product,171743,0-15215
"  SKU",207514,1-15215
"  SKU",207515,1-15217
"  Rule",318196,1-15215
"  Rule",318197,1-15217
Product,171744,0-15212
"  SKU",207516,1-15212
"  SKU",207517,1-15213
"  SKU",207518,1-15214
"  Rule",318198,1-15212
"  Rule",318199,1-15213
"  Rule",318200,1-15214
Product,171745,0-15218
"  SKU",207519,1-15218
"  SKU",207520,1-15219
"  Rule",318201,1-15218
"  Rule",318202,1-15219
Product,171746,0-34014
"  SKU",207521,1-34014
"  SKU",207522,1-43970
"  SKU",207523,1-46933
"  SKU",207524,1-47486
"  SKU",207525,1-47488
"  SKU",207526,1-49102
"  SKU",207527,1-50122
"  SKU",207528,1-51386
"  SKU",207529,1-53436
"  SKU",207530,1-53437
"  Rule",318208,1-49102
"  Rule",318209,1-50122
"  Rule",318210,1-51386
"  Rule",318211,1-53436
"  Rule",318212,1-53437
"  Rule",318203,1-34014
"  Rule",318204,1-43970
"  Rule",318205,1-46933
"  Rule",318206,1-47486
"  Rule",318207,1-47488
Product,171747,0-46934
"  SKU",207531,1-46934
"  SKU",207532,1-48983
"  SKU",207533,1-50123
"  SKU",207534,1-53282
"  Rule",318213,1-46934
"  Rule",318214,1-48983
"  Rule",318215,1-50123
"  Rule",318216,1-53282
Product,171748,0-09738
"  SKU",207535,1-09738
"  SKU",207536,1-09739
"  SKU",207537,1-09740
"  SKU",207538,1-09741
"  Rule",318217,1-09738
"  Rule",318218,1-09739
"  Rule",318219,1-09740
"  Rule",318220,1-09741
Product,171749,0-02498
"  SKU",207539,1-02498
"  SKU",207540,1-02499
"  SKU",207541,1-02501
"  Rule",318221,1-02498
"  Rule",318222,1-02499
"  Rule",318223,1-02501
Product,171750,0-02507
"  SKU",207542,1-02507
"  SKU",207543,1-02509
"  SKU",207544,1-02530
"  SKU",207545,1-02535
"  SKU",207546,1-02547
"  Rule",318224,1-02507
"  Rule",318225,1-02509
"  Rule",318226,1-02530
"  Rule",318227,1-02535
"  Rule",318228,1-02547
Product,171751,0-02569
"  SKU",207547,1-02569
"  SKU",207548,1-02570
"  SKU",207549,1-02576
"  Rule",318229,1-02569
"  Rule",318230,1-02570
"  Rule",318231,1-02576
Product,171752,0-21368
"  SKU",207550,1-21368
"  SKU",207551,1-21369
"  SKU",207552,1-21370
"  SKU",207553,1-21371
"  Rule",318232,1-21368
"  Rule",318233,1-21369
"  Rule",318234,1-21370
"  Rule",318235,1-21371
Product,171753,2-21375
Product,171754,2-21374
Product,171755,2-30502
Product,171756,2-51373
Product,171757,0-06002
"  SKU",207554,1-06002
"  SKU",207555,1-30508
"  Rule",318236,1-06002
"  Rule",318237,1-30508
Product,171758,0-32870
"  SKU",207556,1-32870
"  SKU",207557,1-32871
"  SKU",207558,1-32872
"  Rule",318238,1-32870
"  Rule",318239,1-32871
"  Rule",318240,1-32872
Product,171759,2-03773
Product,171760,2-10816
Product,171761,2-02532
Product,171762,2-02518
Product,171763,2-02534
Product,171764,2-02536
Product,171765,0-15311
"  SKU",207559,1-15311
"  SKU",207560,1-15314
"  SKU",207561,1-15315
"  Rule",318241,1-15311
"  Rule",318242,1-15314
"  Rule",318243,1-15315
Product,171766,0-03025
"  SKU",207562,1-03025
"  SKU",207563,1-03026
"  SKU",207564,1-03028
"  SKU",207565,1-03029
"  SKU",207566,1-03030
"  SKU",207567,1-10694
"  SKU",207568,1-10695
"  SKU",207569,1-10696
"  SKU",207570,1-10697
"  SKU",207571,1-10698
"  SKU",207572,1-10699
"  SKU",207573,1-10700
"  SKU",207574,1-10701
"  SKU",207575,1-10702
"  SKU",207576,1-10703
"  SKU",207577,1-10704
"  SKU",207578,1-10705
"  SKU",207579,1-10706
"  SKU",207580,1-10707
"  SKU",207581,1-10708
"  SKU",207582,1-21869
"  SKU",207583,1-21871
"  SKU",207584,1-21872
"  SKU",207585,1-21873
"  Rule",318244,1-03025
"  Rule",318245,1-03026
"  Rule",318246,1-03028
"  Rule",318247,1-03029
"  Rule",318248,1-03030
"  Rule",318249,1-10694
"  Rule",318250,1-10695
"  Rule",318251,1-10696
"  Rule",318252,1-10697
"  Rule",318253,1-10698
"  Rule",318254,1-10699
"  Rule",318255,1-10700
"  Rule",318256,1-10701
"  Rule",318257,1-10702
"  Rule",318258,1-10703
"  Rule",318259,1-10704
"  Rule",318260,1-10705
"  Rule",318261,1-10706
"  Rule",318262,1-10707
"  Rule",318263,1-10708
"  Rule",318264,1-21869
"  Rule",318265,1-21871
"  Rule",318266,1-21872
"  Rule",318267,1-21873
Product,171767,0-15306
"  SKU",207586,1-15306
"  SKU",207587,1-15307
"  SKU",207588,1-15308
"  SKU",207589,1-15309
"  SKU",207590,1-15310
"  Rule",318268,1-15306
"  Rule",318269,1-15307
"  Rule",318270,1-15308
"  Rule",318271,1-15309
Product,171768,2-05505
Product,171769,0-38633
"  SKU",207591,1-38633
"  SKU",207592,1-38634
"  SKU",207593,1-38635
"  SKU",207594,1-38636
"  Rule",318273,1-38633
"  Rule",318274,1-38634
"  Rule",318275,1-38635
"  Rule",318276,1-38636
Product,171770,0-38625
"  SKU",207595,1-38625
"  SKU",207596,1-38626
"  SKU",207597,1-38627
"  Rule",318277,1-38625
"  Rule",318278,1-38626
"  Rule",318279,1-38627
Product,171771,2-38623
Product,171772,0-38637
"  SKU",207598,1-38637
"  SKU",207599,1-38638
"  SKU",207600,1-38639
"  SKU",207601,1-38640
"  Rule",318280,1-38637
"  Rule",318281,1-38638
"  Rule",318282,1-38639
"  Rule",318283,1-38640
Product,171773,0-38628
"  SKU",207602,1-38628
"  SKU",207603,1-38629
"  SKU",207604,1-38630
"  SKU",207605,1-38631
"  SKU",207606,1-38632
"  Rule",318284,1-38628
"  Rule",318285,1-38629
"  Rule",318286,1-38630
"  Rule",318287,1-38631
"  Rule",318288,1-38632
Product,171774,2-38624
Product,171775,2-38642
Product,171776,0-28355
"  SKU",207607,1-28355
"  SKU",207608,1-28396
"  SKU",207609,1-28460
"  SKU",207610,1-28499
"  Rule",318289,1-28355
"  Rule",318290,1-28396
"  Rule",318291,1-28460
"  Rule",318292,1-28499
Product,171777,2-05869
Product,171778,0-28394
"  SKU",207611,1-28394
"  SKU",207612,1-49613
"  SKU",207613,1-49645
"  Rule",318293,1-28394
"  Rule",318294,1-49613
"  Rule",318295,1-49645
Product,171779,2-28395
Product,171780,0-66160
"  SKU",207614,1-66160
"  SKU",207615,1-66161
"  Rule",318296,1-66160
"  Rule",318297,1-66161
Product,171781,2-51374
Product,171782,2-06005
Product,171783,0-10817
"  SKU",207616,1-10817
"  SKU",207617,1-10818
"  Rule",318298,1-10817
"  Rule",318299,1-10818
Product,171784,2-51371
Product,171785,2-19310
Product,171786,0-53149
"  SKU",207618,1-53149
"  SKU",207619,1-53150
"  SKU",207620,1-53151
"  SKU",207621,1-53152
"  SKU",207622,1-53471
"  Rule",318300,1-53149
"  Rule",318301,1-53150
"  Rule",318302,1-53151
"  Rule",318303,1-53152
"  Rule",318304,1-53471
Product,171787,2-10470
Product,171788,2-47197
Product,171789,2-47320
Product,171790,0-15542
"  SKU",207623,1-15542
"  SKU",207624,1-15543
"  Rule",318305,1-15542
"  Rule",318306,1-15543
Product,171791,0-51273
"  SKU",207625,1-51273
"  SKU",207626,1-51274
"  SKU",207627,1-51275
"  Rule",318307,1-51273
"  Rule",318308,1-51274
"  Rule",318309,1-51275
Product,171792,2-25837
Product,171793,0-10749
"  SKU",207628,1-10749
"  SKU",207629,1-10750
"  Rule",318310,1-10749
"  Rule",318311,1-10750
Product,171794,0-26078
"  SKU",207630,1-26078
"  SKU",207631,1-26079
"  SKU",207632,1-26080
"  Rule",318312,1-26078
"  Rule",318313,1-26079
"  Rule",318314,1-26080
Product,171795,2-22135
Product,171796,2-22138
Product,171797,2-20952
Product,171798,2-10748
Product,171799,2-22139
Product,171800,2-22141
Product,171801,2-34034
Product,171802,2-12663
Product,171803,2-12664
Product,171804,2-34036
Product,171805,2-34037
Product,171806,2-34035
Product,171807,2-34033
Product,171808,2-12652
Product,171809,2-12665
Product,171810,2-12662
Product,171811,0-21091
"  SKU",207633,1-21091
"  SKU",207634,1-21099
"  SKU",207635,1-21104
"  SKU",207636,1-21121
"  SKU",207637,1-21123
"  SKU",207638,1-21126
"  Rule",318315,1-21091
"  Rule",318316,1-21099
"  Rule",318317,1-21104
"  Rule",318318,1-21121
"  Rule",318319,1-21123
"  Rule",318320,1-21126
Product,171812,0-21130
"  SKU",207639,1-21130
"  SKU",207640,1-21131
"  SKU",207641,1-21136
"  SKU",207642,1-21137
"  SKU",207643,1-21138
"  Rule",318321,1-21130
"  Rule",318322,1-21131
"  Rule",318323,1-21136
"  Rule",318324,1-21137
"  Rule",318325,1-21138
Product,171813,0-53565
"  SKU",207644,1-53565
"  SKU",207645,1-53566
"  SKU",207646,1-53567
"  Rule",318326,1-53565
"  Rule",318327,1-53566
"  Rule",318328,1-53567
Product,171814,0-53613
"  SKU",207647,1-53613
"  SKU",207648,1-53614
"  SKU",207649,1-53615
"  Rule",318329,1-53613
"  Rule",318330,1-53614
"  Rule",318331,1-53615
Product,171815,0-50453
"  SKU",207650,1-50453
"  SKU",207651,1-50455
"  Rule",318332,1-50453
"  Rule",318333,1-50455
Product,171816,0-06668
"  SKU",207652,1-06668
"  SKU",207653,1-06669
"  SKU",207654,1-06670
"  SKU",207655,1-06671
"  Rule",318334,1-06668
"  Rule",318335,1-06669
"  Rule",318336,1-06670
"  Rule",318337,1-06671
Product,171817,2-11662
Product,171818,0-23783
"  SKU",207656,1-23783
"  SKU",207657,1-23784
"  Rule",318338,1-23783
"  Rule",318339,1-23784
Product,171819,0-29279
"  SKU",207658,1-29279
"  SKU",207659,1-29280
"  Rule",318340,1-29279
"  Rule",318341,1-29280
Product,171820,2-59243
Product,171821,2-22479
Product,171822,2-35215
Product,171823,2-13611
Product,171824,0-35435
"  SKU",207660,1-35435
"  SKU",207661,1-35436
"  Rule",318342,1-35435
"  Rule",318343,1-35436
Product,171825,0-13728
"  SKU",207662,1-13728
"  SKU",207663,1-13729
"  SKU",207664,1-16583
"  SKU",207665,1-16590
"  Rule",318344,1-13728
"  Rule",318345,1-13729
"  Rule",318346,1-16583
"  Rule",318347,1-16590
Product,171826,0-22784
"  SKU",207666,1-22784
"  SKU",207667,1-22788
"  SKU",207668,1-22789
"  SKU",207669,1-22790
"  SKU",207670,1-22791
"  Rule",318348,1-22784
"  Rule",318349,1-22788
"  Rule",318350,1-22789
"  Rule",318351,1-22790
"  Rule",318352,1-22791
Product,171827,2-43108
Product,171828,2-00987
Product,171829,2-27870
